,Lot,CD,ZipCode,ZoneDist1,BldgClass,LandUse,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,ProxCode,BsmtCode,YearBuilt,BoroCode,CondoNo,BIN,IsBopa,geox,geoy
4713,47,111,10037.0,70,20,3.0,12490,52000,0,52000,0,0,0,0,0,0,1,6.0,40,40,125.0,99.92,124.0,70.0,2.0,2.0,2009,1,0,1089072,0,40.80909396183755,-73.93744108756177
4714,50,111,10037.0,70,24,3.0,7994,27176,0,27176,0,0,0,0,0,0,1,4.0,39,39,99.92,80.0,99.0,71.0,2.0,2.0,1926,1,0,1054293,0,40.80923412057932,-73.93776968165649
4715,7501,111,10037.0,70,131,4.0,7494,28575,3887,24688,3887,0,0,0,0,0,1,7.0,25,26,75.0,99.92,75.0,0.0,3.0,2.0,2004,1,1470,1086527,0,40.8087371087088,-73.93736917607755
4716,8,111,10037.0,70,13,2.0,2498,10070,0,10070,0,0,0,0,0,0,1,5.0,20,20,25.0,99.92,25.0,84.0,2.0,2.0,1926,1,0,1054302,0,40.81007994236767,-73.93860335929908
4717,14,111,10037.0,70,13,2.0,1869,8845,0,8845,0,0,0,0,0,0,1,5.0,9,10,24.92,75.0,24.92,71.0,0.0,2.0,1900,1,0,1054307,0,40.80972557758077,-73.93805098922697
4718,24,111,10037.0,70,22,3.0,14584,62169,0,62169,0,0,0,0,0,0,1,8.0,65,65,149.84,98.0,150.0,56.0,2.0,0.0,2010,1,0,1088824,0,40.809656622031284,-73.93742610912169
4719,26,111,10037.0,70,22,3.0,13522,48633,0,48633,0,0,0,0,0,0,1,8.0,47,47,102.0,199.84,102.0,69.0,1.0,2.0,2011,1,0,1088830,0,40.80951645640649,-73.93708667650878
4720,49,111,10037.0,70,16,4.0,2400,10965,1000,9965,0,1000,0,0,0,0,1,5.0,16,19,25.0,96.0,25.0,91.0,2.0,2.0,1910,1,0,1054327,0,40.8099392184161,-73.93722354847213
4721,59,111,10037.0,70,78,4.0,2317,9790,9790,0,0,2168,0,0,0,7622,1,5.0,10,12,24.92,93.0,25.0,87.0,3.0,2.0,1920,1,0,1054334,0,40.810167322154896,-73.93776158426799
4722,65,111,10037.0,70,13,2.0,2498,9155,0,9155,0,0,0,0,0,0,1,5.0,10,10,25.0,99.92,25.0,80.0,2.0,2.0,1920,1,0,1054338,0,40.81031038915868,-73.93839723819694
4723,69,111,10037.0,70,16,4.0,2475,10149,1390,8759,0,1390,0,0,0,0,2,5.0,13,14,25.0,99.0,25.0,97.0,2.0,2.0,1910,1,0,1089299,0,40.810604297522524,-73.93881600991334
4724,1,111,10037.0,70,28,3.0,248323,716400,1800,714600,0,1800,0,0,0,0,5,13.0,914,915,699.5,355.0,229.0,98.0,1.0,2.0,1947,1,0,1081109,0,40.81340524793558,-73.93621236422973
4725,101,111,10037.0,70,28,3.0,81025,232414,0,232414,0,0,0,0,0,0,2,13.0,206,206,614.83,269.92,37.0,95.0,1.0,2.0,1946,1,0,1082615,0,40.81253733798172,-73.93517639388614
4726,11,111,10035.0,70,28,3.0,5046,20730,0,20730,0,0,0,0,0,0,1,6.0,24,24,50.0,100.92,50.0,87.0,3.0,2.0,1920,1,0,1054346,0,40.800353931608846,-73.94108647449545
4727,27,111,10035.0,71,43,7.0,2523,2475,2475,0,0,0,2475,0,0,0,1,1.0,0,1,25.0,100.92,25.0,99.0,3.0,0.0,1954,1,0,1054351,0,40.79984003739789,-73.9398661199752
4728,30,111,10035.0,71,22,3.0,13225,65000,0,65000,0,0,0,0,0,0,1,8.0,78,78,141.0,64.92,140.0,64.0,0.0,5.0,2009,1,0,1088293,0,40.799680724337406,-73.93963871713395
4729,33,111,10035.0,18,78,4.0,11395,29607,29607,0,0,9215,0,20392,0,0,6,4.0,0,7,121.33,93.92,81.0,80.0,3.0,2.0,1930,1,0,1081471,0,40.799592669126504,-73.93921259885316
4730,38,111,10035.0,18,16,4.0,2760,9737,2505,7232,0,2505,0,0,0,0,1,5.0,15,16,25.5,108.25,26.0,94.0,3.0,2.0,1910,1,0,1054372,0,40.800424014987776,-73.93863393669541
4731,3,111,10035.0,53,101,5.0,13620,31185,31185,0,18500,2868,0,0,9817,0,1,3.0,0,6,151.33,90.0,90.0,75.69,0.0,5.0,2003,1,0,1086569,0,40.802093906306574,-73.94073096006558
4732,32,111,10035.0,72,137,4.0,2506,9050,2000,7050,0,2000,0,0,0,0,1,3.0,2,3,24.83,100.92,24.83,100.0,2.0,5.0,1910,1,0,1054379,0,40.80091800600186,-73.93852151175774
4733,7501,111,10035.0,18,129,5.0,12617,78087,78087,0,22693,21839,0,33555,0,0,1,6.0,0,6,126.17,100.0,100.0,126.0,3.0,2.0,1930,1,1550,1087272,0,40.80104681685414,-73.93816381197203
4734,20,111,10035.0,70,16,4.0,2178,9474,960,8514,0,960,0,0,0,0,1,5.0,9,10,22.0,99.0,22.0,85.0,1.0,2.0,1900,1,0,1054384,0,40.80199134938895,-73.93881309070463
