,Address,corx,cory
369,165 FRONT STREET,40.70596883401165,-74.00477897678765
370,175 FRONT STREET,40.70613901543509,-74.00463111083802
371,164 JOHN STREET,40.70612255368532,-74.00445798409818
372,87 SOUTH STREET,40.705823387147106,-74.00411532122016
373,85 SOUTH STREET,40.705859057019254,-74.00443993263197
374,80 SOUTH STREET,40.70565319787997,-74.00448680677316
375,167 FRONT STREET,40.70605392200085,-74.00477176932851
376,170 JOHN STREET,40.70590846878741,-74.00428123796947
377,PIER-15 SOUTH STREET,0,0
378,PIER-16 SOUTH STREET,0,0
379,95 SOUTH STREET,40.705441928925545,-74.00148237278032
380,95 MARGINAL STREET,40.706064981085675,-74.00208471891787
381,SOUTH STREET,0,0
382,PIER 19,40.706641400309735,-73.99984130030182
383,MARGINAL STREET,0,0
384,MARGINAL STREET,0,0
385,89 SOUTH STREET,40.705441928925545,-74.00148237278032
386,2 FULTON STREET,40.70635862635292,-74.0038195969889
387,199 WATER STREET,40.70686089852655,-74.00437146971859
388,127 JOHN STREET,40.70740983687339,-74.00473579786049
389,135 JOHN STREET,40.70713260693886,-74.00494497476363
390,133 JOHN STREET,40.70717377652813,-74.00498825989928
391,40 FULTON STREET,40.70788193547026,-74.0047538657927
392,251 PEARL STREET,40.7077940920192,-74.00501355443431
393,111 JOHN STREET,40.70776387478451,-74.00555458297113
394,248 PEARL STREET,40.70740983687339,-74.00473579786049
395,26 CLIFF STREET,40.7080438583147,-74.00517588314412
396,32 CLIFF STREET,40.708137190264964,-74.00494865617848
397,34 CLIFF STREET,40.70816738650382,-74.00485848607279
398,46 FULTON STREET,40.70813170864847,-74.00476109738933
399,28 CLIFF STREET,40.70806307487994,-74.00510374687114
400,30 CLIFF STREET,40.708090525847844,-74.00502800428843
401,64 FULTON STREET,40.7087300410669,-74.00535267571708
402,56 FULTON STREET,40.70852419222967,-74.00516870661421
403,27 CLIFF STREET,40.70850496980812,-74.00536708529269
404,25 CLIFF STREET,40.70841438940314,-74.00543560923758
405,38 GOLD STREET,40.70862296979324,-74.00587567030897
406,40 GOLD STREET,40.70872453276754,-74.00574222307158
407,70 FULTON STREET,40.708878249057435,-74.00554746196569
408,15 CLIFF STREET,40.70837320841461,-74.00563398565644
409,99 JOHN STREET,40.70827163263408,-74.00601991532203
410,87 JOHN STREET,40.708529618350795,-74.00642751984591
411,110 WILLIAM STREET,40.7087738841185,-74.0067449529502
412,130 WILLIAM STREET,40.7090291694569,-74.0063518222637
413,136 WILLIAM STREET,40.70924051140393,-74.0064384092495
414,138 WILLIAM STREET,40.70933109359158,-74.00634824407696
415,94 FULTON STREET,40.7090291694569,-74.0063518222637
416,92 FULTON STREET,40.7090291694569,-74.0063518222637
417,90 FULTON STREET,40.7090291694569,-74.0063518222637
418,82 FULTON STREET,40.708911162851656,-74.00601275920938
419,135 WILLIAM STREET,40.70947380080945,-74.00670895412688
420,123 WILLIAM STREET,40.70932281280615,-74.00714177370105
421,55 JOHN STREET,40.70913339932963,-74.00753130359413
422,106 FULTON STREET,40.70960003942316,-74.00705162911764
423,86 NASSAU STREET,40.709934849635424,-74.00783798825694
424,86A NASSAU STREET,0,0
425,88 NASSAU STREET,40.710008963362576,-74.00776225010702
426,90 NASSAU STREET,40.710066607015726,-74.00770815186951
427,122 FULTON STREET,40.70995133106984,-74.00764681970186
428,120 FULTON STREET,40.70991290939772,-74.00757106853875
429,114 FULTON STREET,40.70981411035131,-74.0073798872176
430,41 JOHN STREET,40.70947097704442,-74.00794974961029
431,80 NASSAU STREET,40.709786629982474,-74.0078740406437
432,9 DUTCH STREET,40.709632944773254,-74.00755300187413
433,72 NASSAU STREET,40.709586245254755,-74.00811929097934
434,102 FULTON STREET,40.70955064567239,-74.00685324061111
435,59 JOHN STREET,40.70900715692552,-74.00727158969815
436,45 JOHN STREET,40.70934472977442,-74.00777660058854
437,7 DUTCH STREET,40.70952040186298,-74.00766841206965
438,110 FULTON STREET,40.70968786739368,-74.00712377793234
439,85 NASSAU STREET,40.710126960466,-74.00816264084104
440,83 NASSAU STREET,40.71006931659973,-74.00821673873449
441,79 NASSAU STREET,40.709984223523094,-74.0082924750818
442,75 NASSAU STREET,40.70987168092954,-74.00839345669264
443,17 JOHN STREET,40.71001987780472,-74.00866760690863
444,15 JOHN STREET,40.71011044374451,-74.0088155056461
445,200 BROADWAY,40.710398631841436,-74.00897064538904
446,194 BROADWAY,0,0
447,198 BROADWAY,40.710398631841436,-74.00897064538904
448,200 BROADWAY,40.710398631841436,-74.00897064538904
449,144 FULTON STREET,40.71038219296384,-74.00858108569129
450,142 FULTON STREET,40.710341027412504,-74.0085017261383
451,140 FULTON STREET,40.7103026065689,-74.00842236703015
452,138 FULTON STREET,40.71026418540891,-74.00834661502083
453,130 FULTON STREET,40.710214798977965,-74.00807608348481
454,71 NASSAU STREET,40.709753647921055,-74.00850525820208
455,195 BROADWAY,40.71085145308353,-74.00976425494247
