GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,GI_BA_X_CP,GI_BA_X_STREET,GI_BA_X_ARTERY,GI_BA_S_ZIP_CD1,BIN,Latitude,Longitude
W,19,ST,463,,10,AV,10011,1012568,40.74521059,-74.00561184
W,21,ST,1,,5,AV,10011,1015534,40.74058545,-73.99080877
,6,AV,434,W,10,ST,10011,1009454,40.7345254,-73.99854224
,6,AV,450,W,11,ST,10011,1009509,40.7350167,-73.99810201
,6,AV,466-70,W,11,ST,10011,1080140,40.73551899,-73.99783498
,8,AV,148,W,17,ST,10011,1013845,40.74173038,-74.00067122
,8,AV,169,W,18,ST,10011,1013109,40.74270202,-74.00077949
,9,AV,57,W,14,ST,10011,1012535,40.741335,-74.00555016
,10,AV,130,W,18,ST,10011,1078439,40.74462868,-74.00604485
,10,AV,148,W,19,ST,10011,1012569,40.74527372,-74.00556493
,10,AV,150,W,19,ST,10011,1012570,40.74533411,-74.00551802
,6,AV,470,W,W. 11 ST,ST,10011,1080142,40.73551899,-73.99783498
,GREENE,ST,101-05,,PRINCE,ST,10012,1089990,40.72452352,-74.00006855
,BROADWAY,,656-658,,BOND,ST,10012,1008455,40.72691135,-73.99508603
,BOWERY,,330,,BOND,ST,10012,1008491,40.72590937,-73.99236939
,BOND,ST,42,,,,10012,1008494,40.72628269,-73.99287084
,BLEECKER,ST,65,,,,10012,1008454,40.72635965,-73.99499587
,GREENE,ST,109,,,,10012,1087063,40.72473761,-73.99988455
,BLEECKER,ST,199,,MINETTA,ST,10012,1008737,40.72954367,-74.00145765
,BLEECKER,ST,183,,MACDOUGAL,ST,10012,1008714,40.72918686,-74.00080098
,BLEECKER,ST,185,,MACDOUGAL,ST,10012,1008715,40.72924449,-74.00091644
,BLEECKER,ST,75,,BROADWAY,,10012,1008622,40.72673847,-73.99599523
,BLEECKER,ST,65-69,,CROSBY,ST,10012,1008454,40.72635965,-73.99499587
,BLEECKER,ST,43,,MULBERRY,ST,10012,1008451,40.72595888,-73.99417692
,BLEECKER,ST,33,,MOTT,ST,10012,1008449,40.72582436,-73.99375842
,BROADWAY,,552,,PRINCE,ST,10012,1079955,40.72369733,-73.99793998
,CLEVELAND,PL,4,,BROOME,ST,10012,1066733,40.72120234,-73.99774164
,CROSBY,ST,159,E,HOUSTON,ST,10012,1008216,40.72563504,-73.99522683
,MACDOUGAL,ST,91-93,,BLEECKER,ST,10012,1084932,40.72940643,-74.00125199
,MACDOUGAL,ST,97,,BLEECKER,ST,10012,1008734,40.72958484,-74.00110406
,MERCER,ST,214,,BLEECKER,ST,10012,1008623,40.72697727,-73.99631271
,MINETTA,ST,1,,6,AV,10012,1066879,40.72965345,-74.00176795
E,96,ST,137,,LEXINGTON,AV,10128,1051699,40.78632488,-73.95126783
W,BROADWAY,,392-394,,BROOME,ST,10012,1007333,40.7242051,-74.00253986
,CANAL,ST,365,,WOOSTER,ST,10013,1002957,40.72129561,-74.00406938
,ERICSSON,PL,16-20,,VARICK,ST,10013,1002168,40.72024696,-74.00708883
E,88,ST,152,,,,10128,1048063,40.78047166,-73.9544424
,PARK,AV,1245,,,,10128,1051695,40.78659689,-73.95192847
,LEONARD,ST,88,,,,10013,1087082,40.71691221,-74.00467154
,BROADWAY,,424,,HOWARD,ST,10013,1002697,40.71956922,-74.00136725
,BROADWAY,,446,,GRAND,ST,10013,1003029,40.72023346,-74.00073955
,BROADWAY,,476,,GRAND,ST,10013,1007013,40.72124902,-73.99997835
,BROOME,ST,378,,MOTT,ST,10013,1007192,40.72055179,-73.99630585
,CANAL,ST,530,,WEST,ST,10013,1010325,40.72491279,-74.0104987
,GREENWICH,ST,363,,FRANKLIN,ST,10013,1002095,40.71915434,-74.0099711
,BROOME,ST,400,,CLEVELAND,PL,10013,1007193,40.72104588,-73.99727988
,VARICK,ST,170,,CHARLTON,ST,10013,1007825,40.72691683,-74.00522064
,WHITE,ST,64-66,,FRANKLIN,PL,10013,1079363,40.71841364,-74.0033405
,PERRY,ST,101,,BLEECKER,ST,10014,1011281,40.73533771,-74.00575173
,CHRISTOPHER,ST,91,,BLEECKER,ST,10014,1011175,40.73360584,-74.00412425
