Lat,Lon,GI_BA_S_CP,GI_BA_S_STREET,GI_BA_S_ARTERY,GI_BA_S_HOUSE_NO,Address,Latitude,Longitude
0.00017574999999681,0.000483380000005695,,C,AV,111,110 AVENUE C,40.72435965,-73.97894144
0.000178410000003737,0.000342809999992255,W,13,ST,227-29,239 WEST 13 STREET,40.73859312,-74.00138929
0.000178439999999114,0.000119100000006256,,AMSTERDAM,AV,768,202 WEST 98 STREET,40.79520223,-73.96992252
0.000178540000000282,0.000425849999999173,E,58,ST,234,248 EAST 58 STREET,40.76012882,-73.96574387
0.000181070000003558,0.000353940000010766,W,81,ST,45,62 WEST 82 STREET,40.783173,-73.97371223
0.000181089999998107,0.000375250000004712,,C,AV,67,291 EAST 4 STREET,40.72283926,-73.98010721
0.000181130000001417,0.000129999999998631,,7,AV,848-852,856 7 AVENUE,40.76407113,-73.98149915
0.000181140000002245,0.00013352000000566,,2,AV,95,101 2 AVENUE,40.72725952,-73.98906076
0.000181170000004727,0.000108189999991737,,ESSEX,ST,156,146 ESSEX STREET,40.72055385,-73.9868829
0.000181240000003413,0.000241770000002361,,2,AV,1534,308 EAST 80 STREET,40.77375799,-73.9543459
0.000183870000000752,0.000454709999999636,E,20,ST,8,119 5 AVENUE,40.73922952,-73.99044449
0.000183870000000752,0.00049074999999732,W,14,ST,2,3 WEST 13 STREET,40.7359388,-73.99408584
0.000186620000000914,0.000479799999993702,,GRAND,ST,227,124 BOWERY,40.71853986,-73.99553397
9.60100000000352E-05,0.000483500000001413,E,10,ST,214,309 EAST 9 STREET,40.72921346,-73.98604052
9.60599999970668E-05,5.05299999957742E-05,,ATTORNEY,ST,162,164 ATTORNEY STREET,40.72050669,-73.98308414
9.88700000021936E-05,0.000155249999991725,,8,AV,2153,303 WEST 116 STREET,40.8047602,-73.95551303
0.000101649999997733,0.000339459999992187,W,106,ST,154-158,931 AMSTERDAM AVENUE,40.79993832,-73.96525746
0.00010165999999856,0.000238219999999956,E,86,ST,342,340 EAST 86 STREET,40.776888,-73.950141
0.000107059999997716,0.000256089999993492,,BEEKMAN,ST,15,122 NASSAU STREET,40.71092854,-74.00650711
0.000107120000002681,0.000252619999997705,E,58,ST,240,248 EAST 58 STREET,40.7600574,-73.96557064
0.000107209999995916,0.000317739999999844,,3,AV,2114,176 EAST 116 STREET,40.79777087,-73.94055783
0.000107290000002536,0.000440859999997656,W,179,ST,535,286 AUDUBON AVENUE,40.84789124,-73.93384435
0.000109919999999875,0.000263560000007601,E,115,ST,161,151 EAST 115 STREET,40.79796077,-73.94155812
0.000112530000002664,1.4450000008992E-05,,1,AV,83,87 1 AVENUE,40.72603238,-73.98679162
0.000112549999997213,0.000331970000004844,W,14,ST,25,31 WEST 14 STREET,40.73680069,-73.99473528
0.000115109999995866,0.000296359999993001,W,142,ST,59-71,646 LENOX AVENUE,40.81866444,-73.93677816
0.000115270000001999,0.000256130000011012,,WHITE,ST,64-66,58 WHITE STREET,40.71841364,-74.0033405
0.000117959999997197,0.000454590000003918,,CLINTON,ST,18-20,161 ATTORNEY STREET,40.72060564,-73.98400766
0.000120759999994391,7.2180000003641E-05,,2,AV,95,91 2 AVENUE,40.72725952,-73.98906076
0.000120800000004806,0.000274149999995643,,ESSEX,ST,156,151 NORFOLK STREET,40.72055385,-73.9868829
0.000123380000005113,0.000465719999994008,E,58,ST,230,225 EAST 57 STREET,40.76018925,-73.96588823
0.000126250000000994,6.49699999968334E-05,,ATTORNEY,ST,162,154 ATTORNEY STREET,40.72050669,-73.98308414
0.000126270000002648,0.000295909999991295,W,22,ST,146-148,156 WEST 22 STREET,40.74280622,-73.99522921
0.000128959999997846,0.00040412999999262,E,10,ST,214,311 EAST 9 STREET,40.72921346,-73.98604052
0.000128969999998674,0.000451140000009786,W,28,ST,127,122 WEST 29 STREET,40.7467914,-73.99172821
0.000128979999999501,9.39600000009477E-05,,AMSTERDAM,AV,768,772 AMSTERDAM AVENUE,40.79520223,-73.96992252
0.000128990000000329,0.000252549999999019,W,BROADWAY,,392-394,72 THOMPSON STREET,40.7242051,-74.00253986
0.000131789999997523,0.000317480000006753,E,10,ST,214,222 EAST 10 STREET,40.72921346,-73.98604052
0.000131830000000832,0.000314130000006685,W,95,ST,118,130 WEST 95 STREET,40.79236394,-73.96902455
0.000131950000003656,0.000426059999995232,E,111,ST,163,169 EAST 111 STREET,40.7954723,-73.94356837
0.000134490000000653,0.000303120000012314,W,13,ST,227-29,219 WEST 13 STREET,40.73859312,-74.00138929
0.000134530000003963,0.000317479999992543,E,10,ST,214,206 EAST 10 STREET,40.72921346,-73.98604052
0.00013712999999882,0.000465869999999313,W,81,ST,45,56 WEST 82 STREET,40.783173,-73.97371223
0.000137250000001643,0.000328390000007062,W,22,ST,146-148,136 WEST 22 STREET,40.74280622,-73.99522921
0.000142600000003767,0.000433240000006663,E,58,ST,210,207 EAST 57 STREET,40.76040348,-73.96638987
0.000142680000003281,0.000411500000012666,W,41,ST,206,213 WEST 40 STREET,40.75539312,-73.98808881
0.000142699999997831,0.000461820000012381,,BOWERY,,330,51 BOND STREET,40.72590937,-73.99236939
0.000142730000000313,0.000180419999992409,,6,AV,466-70,71 WEST 11 STREET,40.73551899,-73.99783498
0.000142749999994862,0.000302969999992797,,BEEKMAN,ST,15,120 NASSAU STREET,40.71092854,-74.00650711
0.000142879999998513,0.00034312999999031,W,141,ST,474,462 WEST 141 STREET,40.82237875,-73.94930842
0.000145299999999793,0.000418949999996698,E,86,ST,215,222 EAST 87 STREET,40.77870895,-73.95298488
0.000145469999999648,4.69200000026149E-05,,GREENWICH,ST,363,369 GREENWICH STREET,40.71915434,-74.0099711
0.00014565000000033,0.000314349999996466,,BROADWAY,,4425,179 BENNETT AVENUE,40.85599885,-73.93340611
0.000150779999998463,0.000422549999996136,E,86,ST,342,341 EAST 85 STREET,40.776888,-73.950141
0.000150929999996663,0.000112039999990543,,AMSTERDAM,AV,935,929 AMSTERDAM AVENUE,40.80013053,-73.96552825
0.000150959999999145,5.77300000088599E-05,,BROADWAY,,552,550 BROADWAY,40.72369733,-73.99793998
0.000153720000000135,0.000368080000001214,W,20,ST,121,127 WEST 20 STREET,40.74156009,-73.99487203
0.00015645999999947,0.000461760000007416,,BROOME,ST,400,406 BROOME STREET,40.72104588,-73.99727988
0.000159310000000801,0.000378940000004491,E,58,ST,230,242 EAST 58 STREET,40.76018925,-73.96588823
0.00016189999999483,0.000324759999998037,E,10,ST,214,313 EAST 9 STREET,40.72921346,-73.98604052
0.000161999999995999,0.000357190000002561,E,22,ST,300-310,312 EAST 22 STREET,40.73684591,-73.98104483
